ElectricLoad_annual_calculated_kwh,ElectricStorage_initial_capital_cost,ElectricStorage_size_kw,ElectricStorage_size_kwh,ElectricTariff_lifecycle_coincident_peak_cost,ElectricTariff_lifecycle_demand_cost,ElectricTariff_lifecycle_energy_cost,ElectricTariff_lifecycle_export_benefit,ElectricTariff_lifecycle_fixed_cost,ElectricTariff_lifecycle_min_charge_adder,ElectricTariff_year_one_bill,ElectricTariff_year_one_coincident_peak_cost,ElectricTariff_year_one_demand_cost,ElectricTariff_year_one_energy_cost,ElectricTariff_year_one_export_benefit,ElectricTariff_year_one_fixed_cost,ElectricTariff_year_one_min_charge_adder,ElectricUtility_year_one_energy_supplied_kwh,Financial_developer_om_and_replacement_present_cost_after_tax,Financial_initial_capital_costs,Financial_initial_capital_costs_after_incentives,Financial_lcc,Financial_lifecycle_capital_costs,Financial_lifecycle_capital_costs_plus_om,Financial_lifecycle_fuel_costs_after_tax,Financial_lifecycle_om_costs_after_tax,Financial_lifecycle_om_costs_before_tax,Financial_om_and_replacement_present_cost_after_tax,Financial_replacement_costs,Financial_year_one_om_costs_after_tax,Financial_year_one_om_costs_before_tax,Generator_average_annual_energy_produced_kwh,Generator_fuel_used_gal,Generator_lifecycle_fixed_om_cost,Generator_lifecycle_fuel_cost,Generator_lifecycle_variable_om_cost,Generator_size_kw,Generator_year_one_energy_produced_kwh,Generator_year_one_fixed_om_cost,Generator_year_one_fuel_cost,Generator_year_one_variable_om_cost,Outages_Generator_mg_kw,Outages_Generator_upgraded,Outages_PV_upgraded,Outages_PVmg_kw,Outages_expected_outage_cost,Outages_mg_Generator_upgrade_cost,Outages_mg_PV_upgrade_cost,Outages_mg_storage_upgrade_cost,Outages_storage_upgraded,PV_average_annual_energy_exported_kwh,PV_average_annual_energy_produced_kwh,PV_lcoe_per_kwh,PV_lifecycle_om_cost,PV_size_kw,PV_year_one_energy_produced_kwh,Uncertainty_ElectricLoad_critical_load_pct,Uncertainty_ElectricUtility_outage_start_timesteps,Uncertainty_Financial_elec_cost_escalation_pct,Uncertainty_Financial_value_of_lost_load_per_kwh,solver_seconds,status
3.505851818e7,6.546374676e7,10000.0,148746.77,0.0,957349.6,1.86107485e6,-0.0,0.0,0.0,217237.75,0.0,73790.33,143447.42,-0.0,0.0,0.0,1.89244613e6,2.211746384e7,1.0882491236e8,5.873749177e7,1.064387286e8,7.460855262e7,8.085495561e7,0.0,6.24640299e6,8.44108512e6,2.211746384e7,3.71242905e7,361257.12,488185.3,0.0,0.0,52176.0,0.0,0.0,407.78,0.0,4078.0,0.0,0.0,407.78,1.0000000000000004,1.0,28476.9118,0.0,61167.0,7.34051549e6,1.536168604631415e7,1.0,0.0,4.376411174e7,0.0503,6.194227e6,28476.9118,4.6101506e7,0.4042998957001043,296,-0.0040800059199940794,1256.3988436011564,43.318,optimal
3.505851818e7,5.871165436e7,10000.0,131344.47,0.0,514780.16,683369.64,-0.0,0.0,0.0,124170.23000000001,0.0,53349.23,70821.0,-0.0,0.0,0.0,934313.92,2.272674468e7,1.1851126654e8,6.396517371e7,1.1173270214e8,7.819950397e7,8.669191839e7,0.0,8.49241442e6,1.147623571e7,2.272674468e7,3.329578384e7,491153.9,663721.49,0.0,0.0,52176.0,0.0,0.0,407.78,0.0,4078.0,0.0,0.0,407.78,1.0,1.0,38802.57,0.0,61167.0,1.000216834e7,1.3777318603828726e7,1.0,0.0,6.003279533e7,0.0509,8.440238e6,38802.57,6.2817799e7,0.831999468000532,8070,-0.00144000855999144,1305.3987946012055,43.036,optimal
3.505851818e7,6.546374676e7,10000.0,148746.77,0.0,957349.6,1.86107485e6,-0.0,0.0,0.0,217237.75,0.0,73790.33,143447.42,-0.0,0.0,0.0,1.89244613e6,2.211746384e7,1.0882491236e8,5.873749177e7,1.064387286e8,7.460855262e7,8.085495561e7,0.0,6.24640299e6,8.44108512e6,2.211746384e7,3.71242905e7,361257.12,488185.3,0.0,0.0,52176.0,0.0,0.0,407.78,0.0,4078.0,0.0,0.0,407.78,1.0000000000000004,1.0,28476.9118,0.0,61167.0,7.34051549e6,1.536168604631415e7,1.0,0.0,4.376411174e7,0.0503,6.194227e6,28476.9118,4.6101506e7,0.8900994099005901,5880,0.02623996376003624,1643.4984565015434,43.283,optimal
3.505851818e7,2.1692119650000002e7,5092.55,45735.55,0.0,3.72221363e6,9.80764237e6,-0.0,0.0,0.0,1.44017092e6,0.0,396207.01,1.04396391e6,-0.0,0.0,0.0,1.377261097e7,8.5562618e6,4.346516384e7,2.345985761e7,5.454455874e7,2.871933527e7,3.201611941e7,0.0,3.29678415e6,4.45511371e6,8.5562618e6,1.230254097e7,190667.61,257658.94,0.0,0.0,52176.0,0.0,0.0,407.78,0.0,4078.0,0.0,0.0,407.78,0.9999999999999994,1.0,14916.5375,0.0,61167.0,3.84504737e6,5.090388965986475e6,1.0,0.0,2.309216258e7,0.0482,3.244608e6,14916.5375,2.4148505e7,0.831999468000532,8070,-0.00144000855999144,1305.3987946012055,29.005,optimal
3.505851818e7,6.546374676e7,10000.0,148746.77,0.0,957349.6,1.86107485e6,-0.0,0.0,0.0,217237.75,0.0,73790.33,143447.42,-0.0,0.0,0.0,1.89244613e6,2.211746384e7,1.0882491236e8,5.873749177e7,1.064387286e8,7.460855262e7,8.085495561e7,0.0,6.24640299e6,8.44108512e6,2.211746384e7,3.71242905e7,361257.12,488185.3,0.0,0.0,52176.0,0.0,0.0,407.78,0.0,4078.0,0.0,0.0,407.78,1.0000000000000004,1.0,28476.9118,0.0,61167.0,7.34051549e6,1.536168604631415e7,1.0,0.0,4.376411174e7,0.0503,6.194227e6,28476.9118,4.6101506e7,0.8900994099005901,5880,0.02623996376003624,1643.4984565015434,43.255,optimal
3.505851818e7,6.546374676e7,10000.0,148746.77,0.0,957349.6,1.86107485e6,-0.0,0.0,0.0,217237.75,0.0,73790.33,143447.42,-0.0,0.0,0.0,1.89244613e6,2.211746384e7,1.0882491236e8,5.873749177e7,1.064387286e8,7.460855262e7,8.085495561e7,0.0,6.24640299e6,8.44108512e6,2.211746384e7,3.71242905e7,361257.12,488185.3,0.0,0.0,52176.0,0.0,0.0,407.78,0.0,4078.0,0.0,0.0,407.78,1.0000000000000004,1.0,28476.9118,0.0,61167.0,7.34051549e6,1.536168604631415e7,1.0,0.0,4.376411174e7,0.0503,6.194227e6,28476.9118,4.6101506e7,0.831999468000532,8070,-0.00144000855999144,1305.3987946012055,43.348,optimal
3.505851818e7,3.592565808e7,9291.72,74032.41,0.0,1.5553766e6,1.76724695e6,-0.0,0.0,0.0,284098.5,0.0,132991.34,151107.16,-0.0,0.0,0.0,1.99349811e6,1.740130751e7,9.717542904e7,5.244893895e7,9.190356133e7,6.115969519e7,6.985024646e7,0.0,8.69055127e6,1.174398821e7,1.740130751e7,2.037549021e7,502613.03,679206.8,0.0,0.0,52176.0,0.0,0.0,407.78,0.0,4078.0,0.0,0.0,407.78,1.0000000000000004,1.0,39713.4707,0.0,61167.0,1.023697191e7,8.430572397432722e6,1.0,0.0,6.117351885e7,0.051,8.638375e6,39713.4707,6.4292464e7,0.9068993931006069,3168,0.01683997316002684,3005.697094302906,65.364,optimal
3.505851818e7,4.0084554239999995e7,10000.0,83336.48,0.0,2.27069105e6,3.39041464e6,-0.0,0.0,0.0,608929.27,0.0,244243.85,364685.42,-0.0,0.0,0.0,4.81115331e6,1.456888005e7,7.322421483e7,3.952211689e7,7.490723776e7,4.924117452e7,5.409099695e7,0.0,4.84982243e6,6.55381409e6,1.456888005e7,2.273402654e7,280486.69,379036.07,0.0,0.0,52176.0,0.0,0.0,407.78,0.0,4078.0,0.0,0.0,407.78,1.0,1.0,22056.3687,0.0,61167.0,5.68548714e6,9.406500974652005e6,1.0,0.0,3.415356046e7,0.0497,4.797646e6,22056.3687,3.5707236e7,0.3608999391000609,7548,0.024759965240034758,3578.9965210034793,51.153,optimal
3.505851818e7,3.592565808e7,9291.72,74032.41,0.0,1.5553766e6,1.76724695e6,-0.0,0.0,0.0,284098.5,0.0,132991.34,151107.16,-0.0,0.0,0.0,1.99349811e6,1.740130751e7,9.717542904e7,5.244893895e7,9.190356133e7,6.115969519e7,6.985024646e7,0.0,8.69055127e6,1.174398821e7,1.740130751e7,2.037549021e7,502613.03,679206.8,0.0,0.0,52176.0,0.0,0.0,407.78,0.0,4078.0,0.0,0.0,407.78,1.0000000000000004,1.0,39713.4707,0.0,61167.0,1.023697191e7,8.430572397432722e6,1.0,0.0,6.117351885e7,0.051,8.638375e6,39713.4707,6.4292464e7,0.6947996052003949,1130,-0.00512000487999512,4936.295163704836,66.116,optimal
3.505851818e7,1.940925002e7,5078.82,39879.29,0.0,5.27006308e6,1.3576797e7,-0.0,0.0,0.0,1.47692072e6,0.0,412984.73,1.06393599e6,-0.0,0.0,0.0,1.403609491e7,7.98084709e6,4.102100801e7,2.214061169e7,5.740511535e7,2.684671248e7,3.012145877e7,0.0,3.27474629e6,4.42533283e6,7.98084709e6,1.100812697e7,189393.07,255936.58,0.0,0.0,52176.0,0.0,0.0,407.78,0.0,4078.0,0.0,0.0,407.78,1.0000000000000004,1.0,14815.2222,0.0,61167.0,3.81893125e6,4.554718254205959e6,1.0,0.0,2.277674251e7,0.0482,3.22257e6,14815.2222,2.3984485e7,0.3608999391000609,7548,0.024759965240034758,3578.9965210034793,70.765,optimal
