Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,145878,-,-,-,39.77,-121.62,-8,467,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.1.0
Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Clearsky GHI,Clearsky DHI,Clearsky DNI
2018,1,1,0,30,0,0,0,0,0,0
2018,1,1,1,30,0,0,0,0,0,0
2018,1,1,2,30,0,0,0,0,0,0
2018,1,1,3,30,0,0,0,0,0,0
2018,1,1,4,30,0,0,0,0,0,0
2018,1,1,5,30,0,0,0,0,0,0
2018,1,1,6,30,0,0,0,0,0,0
2018,1,1,7,30,7,7,76,7,7,76
2018,1,1,8,30,132,36,609,132,36,609
2018,1,1,9,30,280,50,786,280,50,786
2018,1,1,10,30,397,58,865,397,58,865
2018,1,1,11,30,464,62,898,464,62,898
2018,1,1,12,30,472,63,898,472,63,898
2018,1,1,13,30,423,60,871,423,60,871
2018,1,1,14,30,322,54,808,322,54,808
2018,1,1,15,30,182,43,671,182,43,671
2018,1,1,16,30,36,20,299,36,20,299
2018,1,1,17,30,0,0,0,0,0,0
2018,1,1,18,30,0,0,0,0,0,0
2018,1,1,19,30,0,0,0,0,0,0
2018,1,1,20,30,0,0,0,0,0,0
2018,1,1,21,30,0,0,0,0,0,0
2018,1,1,22,30,0,0,0,0,0,0
2018,1,1,23,30,0,0,0,0,0,0
2018,1,2,0,30,0,0,0,0,0,0
2018,1,2,1,30,0,0,0,0,0,0
2018,1,2,2,30,0,0,0,0,0,0
2018,1,2,3,30,0,0,0,0,0,0
2018,1,2,4,30,0,0,0,0,0,0
2018,1,2,5,30,0,0,0,0,0,0
2018,1,2,6,30,0,0,0,0,0,0
2018,1,2,7,30,4,4,24,6,6,62
2018,1,2,8,30,94,54,254,127,39,560
2018,1,2,9,30,198,105,317,273,53,751
2018,1,2,10,30,270,158,286,388,58,839
2018,1,2,11,30,303,192,247,454,62,874
2018,1,2,12,30,295,201,205,464,63,877
