INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,LOAD_TYPE,OPR_DT,OPR_HR,OPR_INTERVAL,MARKET_RUN_ID,TAC_AREA_NAME,LABEL,XML_DATA_ITEM,POS,MW,EXECUTION_TYPE,GROUP
2010-04-02T03:00:00-00:00,2010-04-02T04:00:00-00:00,0,2010-04-01,21,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,21013,ACTUAL,1
2010-04-02T05:00:00-00:00,2010-04-02T06:00:00-00:00,0,2010-04-01,23,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,18124,ACTUAL,1
2010-04-01T20:00:00-00:00,2010-04-01T21:00:00-00:00,0,2010-04-01,14,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,20441,ACTUAL,1
2010-04-01T18:00:00-00:00,2010-04-01T19:00:00-00:00,0,2010-04-01,12,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,20599,ACTUAL,1
2010-04-01T09:00:00-00:00,2010-04-01T10:00:00-00:00,0,2010-04-01,3,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,15065,ACTUAL,1
2010-04-01T07:00:00-00:00,2010-04-01T08:00:00-00:00,0,2010-04-01,1,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,15865,ACTUAL,1
2010-04-02T01:00:00-00:00,2010-04-02T02:00:00-00:00,0,2010-04-01,19,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,19635,ACTUAL,1
2010-04-02T04:00:00-00:00,2010-04-02T05:00:00-00:00,0,2010-04-01,22,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,19833,ACTUAL,1
2010-04-01T23:00:00-00:00,2010-04-02T00:00:00-00:00,0,2010-04-01,17,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,19228,ACTUAL,1
2010-04-01T19:00:00-00:00,2010-04-01T20:00:00-00:00,0,2010-04-01,13,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,20512,ACTUAL,1
2010-04-01T17:00:00-00:00,2010-04-01T18:00:00-00:00,0,2010-04-01,11,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,20673,ACTUAL,1
2010-04-01T14:00:00-00:00,2010-04-01T15:00:00-00:00,0,2010-04-01,8,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,19482,ACTUAL,1
2010-04-01T12:00:00-00:00,2010-04-01T13:00:00-00:00,0,2010-04-01,6,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,16692,ACTUAL,1
2010-04-01T11:00:00-00:00,2010-04-01T12:00:00-00:00,0,2010-04-01,5,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,15457,ACTUAL,1
2010-04-01T10:00:00-00:00,2010-04-01T11:00:00-00:00,0,2010-04-01,4,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,15083,ACTUAL,1
2010-04-02T06:00:00-00:00,2010-04-02T07:00:00-00:00,0,2010-04-01,24,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,16719,ACTUAL,1
2010-04-02T02:00:00-00:00,2010-04-02T03:00:00-00:00,0,2010-04-01,20,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,21449,ACTUAL,1
2010-04-01T22:00:00-00:00,2010-04-01T23:00:00-00:00,0,2010-04-01,16,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,19485,ACTUAL,1
2010-04-01T16:00:00-00:00,2010-04-01T17:00:00-00:00,0,2010-04-01,10,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,20503,ACTUAL,1
2010-04-01T15:00:00-00:00,2010-04-01T16:00:00-00:00,0,2010-04-01,9,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,20050,ACTUAL,1
2010-04-02T00:00:00-00:00,2010-04-02T01:00:00-00:00,0,2010-04-01,18,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,19299,ACTUAL,1
2010-04-01T13:00:00-00:00,2010-04-01T14:00:00-00:00,0,2010-04-01,7,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,18533,ACTUAL,1
2010-04-01T08:00:00-00:00,2010-04-01T09:00:00-00:00,0,2010-04-01,2,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,15337,ACTUAL,1
2010-04-01T21:00:00-00:00,2010-04-01T22:00:00-00:00,0,2010-04-01,15,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,20004,ACTUAL,1
2010-04-01T19:00:00-00:00,2010-04-01T20:00:00-00:00,0,2010-04-01,13,0,ACTUAL,PGE-BA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,5964,ACTUAL,2
2010-04-01T08:00:00-00:00,2010-04-01T09:00:00-00:00,0,2010-04-01,2,0,ACTUAL,PGE-BA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,5410,ACTUAL,2
2010-04-02T04:00:00-00:00,2010-04-02T05:00:00-00:00,0,2010-04-01,22,0,ACTUAL,PGE-BA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,5989,ACTUAL,2
