INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,LOAD_TYPE,OPR_DT,OPR_HR,OPR_INTERVAL,MARKET_RUN_ID,TAC_AREA_NAME,LABEL,XML_DATA_ITEM,POS,MW,EXECUTION_TYPE,GROUP
2013-09-02T01:00:00-00:00,2013-09-02T02:00:00-00:00,0,2013-09-01,19,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,35954,ACTUAL,1
2013-09-02T02:00:00-00:00,2013-09-02T03:00:00-00:00,0,2013-09-01,20,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,35258,ACTUAL,1
2013-09-01T15:00:00-00:00,2013-09-01T16:00:00-00:00,0,2013-09-01,9,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,26355,ACTUAL,1
2013-09-01T20:00:00-00:00,2013-09-01T21:00:00-00:00,0,2013-09-01,14,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,35260,ACTUAL,1
2013-09-01T17:00:00-00:00,2013-09-01T18:00:00-00:00,0,2013-09-01,11,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,30313,ACTUAL,1
2013-09-01T09:00:00-00:00,2013-09-01T10:00:00-00:00,0,2013-09-01,3,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,25235,ACTUAL,1
2013-09-01T16:00:00-00:00,2013-09-01T17:00:00-00:00,0,2013-09-01,10,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,28460,ACTUAL,1
2013-09-01T23:00:00-00:00,2013-09-02T00:00:00-00:00,0,2013-09-01,17,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,37628,ACTUAL,1
2013-09-01T08:00:00-00:00,2013-09-01T09:00:00-00:00,0,2013-09-01,2,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,26466,ACTUAL,1
2013-09-01T14:00:00-00:00,2013-09-01T15:00:00-00:00,0,2013-09-01,8,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,24847,ACTUAL,1
2013-09-01T11:00:00-00:00,2013-09-01T12:00:00-00:00,0,2013-09-01,5,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,24493,ACTUAL,1
