INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,LOAD_TYPE,OPR_DT,OPR_HR,OPR_INTERVAL,MARKET_RUN_ID,TAC_AREA_NAME,LABEL,XML_DATA_ITEM,POS,MW,EXECUTION_TYPE,GROUP
2010-03-01T10:00:00-00:00,2010-03-01T11:00:00-00:00,0,2010-03-01,3,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,14858,ACTUAL,1
2010-03-01T12:00:00-00:00,2010-03-01T13:00:00-00:00,0,2010-03-01,5,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,14900,ACTUAL,1
2010-03-02T03:00:00-00:00,2010-03-02T04:00:00-00:00,0,2010-03-01,20,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,20932,ACTUAL,1
2010-03-01T23:00:00-00:00,2010-03-02T00:00:00-00:00,0,2010-03-01,16,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,17865,ACTUAL,1
2010-03-01T13:00:00-00:00,2010-03-01T14:00:00-00:00,0,2010-03-01,6,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,15119,ACTUAL,1
2010-03-02T04:00:00-00:00,2010-03-02T05:00:00-00:00,0,2010-03-01,21,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,20154,ACTUAL,1
2010-03-01T15:00:00-00:00,2010-03-01T16:00:00-00:00,0,2010-03-01,8,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,16656,ACTUAL,1
2010-03-01T14:00:00-00:00,2010-03-01T15:00:00-00:00,0,2010-03-01,7,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,16380,ACTUAL,1
2010-03-01T11:00:00-00:00,2010-03-01T12:00:00-00:00,0,2010-03-01,4,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,13984,ACTUAL,1
2010-03-01T21:00:00-00:00,2010-03-01T22:00:00-00:00,0,2010-03-01,14,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,18022,ACTUAL,1
2010-03-01T22:00:00-00:00,2010-03-01T23:00:00-00:00,0,2010-03-01,15,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,17876,ACTUAL,1
2010-03-01T16:00:00-00:00,2010-03-01T17:00:00-00:00,0,2010-03-01,9,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,17390,ACTUAL,1
2010-03-02T07:00:00-00:00,2010-03-02T08:00:00-00:00,0,2010-03-01,24,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,15794,ACTUAL,1
