INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,LOAD_TYPE,OPR_DT,OPR_HR,OPR_INTERVAL,MARKET_RUN_ID,TAC_AREA_NAME,LABEL,XML_DATA_ITEM,POS,MW,EXECUTION_TYPE,GROUP
2013-05-01T23:00:00-00:00,2013-05-02T00:00:00-00:00,0,2013-05-01,17,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,31159,ACTUAL,1
2013-05-02T05:00:00-00:00,2013-05-02T06:00:00-00:00,0,2013-05-01,23,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,28085,ACTUAL,1
2013-05-01T11:00:00-00:00,2013-05-01T12:00:00-00:00,0,2013-05-01,5,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,22117,ACTUAL,1
2013-05-01T20:00:00-00:00,2013-05-01T21:00:00-00:00,0,2013-05-01,14,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,29930,ACTUAL,1
2013-05-01T07:00:00-00:00,2013-05-01T08:00:00-00:00,0,2013-05-01,1,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,23211,ACTUAL,1
2013-05-02T04:00:00-00:00,2013-05-02T05:00:00-00:00,0,2013-05-01,22,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,30648,ACTUAL,1
2013-05-01T14:00:00-00:00,2013-05-01T15:00:00-00:00,0,2013-05-01,8,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,26366,ACTUAL,1
2013-05-02T01:00:00-00:00,2013-05-02T02:00:00-00:00,0,2013-05-01,19,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,30794,ACTUAL,1
2013-05-01T15:00:00-00:00,2013-05-01T16:00:00-00:00,0,2013-05-01,9,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,27590,ACTUAL,1
2013-05-02T06:00:00-00:00,2013-05-02T07:00:00-00:00,0,2013-05-01,24,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,25374,ACTUAL,1
2013-05-01T22:00:00-00:00,2013-05-01T23:00:00-00:00,0,2013-05-01,16,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,30878,ACTUAL,1
2013-05-01T13:00:00-00:00,2013-05-01T14:00:00-00:00,0,2013-05-01,7,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,24493,ACTUAL,1
2013-05-01T16:00:00-00:00,2013-05-01T17:00:00-00:00,0,2013-05-01,10,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,28386,ACTUAL,1
2013-05-01T17:00:00-00:00,2013-05-01T18:00:00-00:00,0,2013-05-01,11,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,28808,ACTUAL,1
2013-05-02T03:00:00-00:00,2013-05-02T04:00:00-00:00,0,2013-05-01,21,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,31819,ACTUAL,1
2013-05-01T21:00:00-00:00,2013-05-01T22:00:00-00:00,0,2013-05-01,15,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,30496,ACTUAL,1
2013-05-02T00:00:00-00:00,2013-05-02T01:00:00-00:00,0,2013-05-01,18,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,31127,ACTUAL,1
2013-05-01T08:00:00-00:00,2013-05-01T09:00:00-00:00,0,2013-05-01,2,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,22369,ACTUAL,1
2013-05-01T09:00:00-00:00,2013-05-01T10:00:00-00:00,0,2013-05-01,3,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,22069,ACTUAL,1
2013-05-01T12:00:00-00:00,2013-05-01T13:00:00-00:00,0,2013-05-01,6,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,22857,ACTUAL,1
2013-05-01T18:00:00-00:00,2013-05-01T19:00:00-00:00,0,2013-05-01,12,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,29183,ACTUAL,1
2013-05-01T10:00:00-00:00,2013-05-01T11:00:00-00:00,0,2013-05-01,4,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3,21877,ACTUAL,1
