,OPR_DT,OPR_HR,TAC_AREA_NAME,MW
48,2010-01-01,12,PGE-TAC,4887
49,2010-01-01,5,PGE-TAC,3822
50,2010-01-01,13,PGE-TAC,4877
51,2010-01-01,17,PGE-TAC,5142
52,2010-01-01,21,PGE-TAC,5296
53,2010-01-01,8,PGE-TAC,4186
54,2010-01-01,10,PGE-TAC,4610
55,2010-01-01,15,PGE-TAC,4807
56,2010-01-01,20,PGE-TAC,5448
57,2010-01-01,6,PGE-TAC,3944
58,2010-01-01,3,PGE-TAC,3897
59,2010-01-01,23,PGE-TAC,4784
60,2010-01-01,1,PGE-TAC,4236
61,2010-01-01,4,PGE-TAC,3829
62,2010-01-01,11,PGE-TAC,4763
63,2010-01-01,16,PGE-TAC,4863
64,2010-01-01,19,PGE-TAC,5556
65,2010-01-01,22,PGE-TAC,5074
66,2010-01-01,2,PGE-TAC,4043
67,2010-01-01,7,PGE-TAC,4117
68,2010-01-01,9,PGE-TAC,4385
69,2010-01-01,14,PGE-TAC,4857
70,2010-01-01,24,PGE-TAC,4319
71,2010-01-01,18,PGE-TAC,5632
168,2010-01-02,20,PGE-TAC,5624
169,2010-01-02,15,PGE-TAC,4935
170,2010-01-02,5,PGE-TAC,3717
171,2010-01-02,4,PGE-TAC,3681
172,2010-01-02,13,PGE-TAC,5031
173,2010-01-02,22,PGE-TAC,5256
174,2010-01-02,21,PGE-TAC,5504
175,2010-01-02,8,PGE-TAC,4264
176,2010-01-02,2,PGE-TAC,3799
177,2010-01-02,18,PGE-TAC,5763
178,2010-01-02,6,PGE-TAC,3877
179,2010-01-02,3,PGE-TAC,3708
180,2010-01-02,10,PGE-TAC,4814
181,2010-01-02,9,PGE-TAC,4548
182,2010-01-02,23,PGE-TAC,4893
183,2010-01-02,12,PGE-TAC,5076
184,2010-01-02,19,PGE-TAC,5728
185,2010-01-02,14,PGE-TAC,4960
186,2010-01-02,7,PGE-TAC,4149
187,2010-01-02,1,PGE-TAC,3982
188,2010-01-02,24,PGE-TAC,4417
189,2010-01-02,16,PGE-TAC,5004
190,2010-01-02,17,PGE-TAC,5296
191,2010-01-02,11,PGE-TAC,4971
288,2010-01-03,18,PGE-TAC,5976
289,2010-01-03,5,PGE-TAC,3794
290,2010-01-03,11,PGE-TAC,4856
291,2010-01-03,15,PGE-TAC,4864
292,2010-01-03,17,PGE-TAC,5346
293,2010-01-03,21,PGE-TAC,5655
294,2010-01-03,13,PGE-TAC,4890
295,2010-01-03,19,PGE-TAC,5935
296,2010-01-03,23,PGE-TAC,4830
297,2010-01-03,8,PGE-TAC,4344
298,2010-01-03,9,PGE-TAC,4581
299,2010-01-03,24,PGE-TAC,4348
300,2010-01-03,2,PGE-TAC,3918
301,2010-01-03,4,PGE-TAC,3771
302,2010-01-03,14,PGE-TAC,4892
303,2010-01-03,10,PGE-TAC,4749
304,2010-01-03,12,PGE-TAC,4901
305,2010-01-03,16,PGE-TAC,4925
306,2010-01-03,1,PGE-TAC,4091
307,2010-01-03,22,PGE-TAC,5309
308,2010-01-03,6,PGE-TAC,3977
309,2010-01-03,7,PGE-TAC,4235
310,2010-01-03,20,PGE-TAC,5841
311,2010-01-03,3,PGE-TAC,3814
408,2010-01-04,15,PGE-TAC,5557
409,2010-01-04,5,PGE-TAC,4044
410,2010-01-04,13,PGE-TAC,5685
411,2010-01-04,24,PGE-TAC,4623
412,2010-01-04,22,PGE-TAC,5577
413,2010-01-04,21,PGE-TAC,5982
414,2010-01-04,20,PGE-TAC,6234
415,2010-01-04,18,PGE-TAC,6465
416,2010-01-04,10,PGE-TAC,5738
417,2010-01-04,23,PGE-TAC,5148
418,2010-01-04,9,PGE-TAC,5630
419,2010-01-04,19,PGE-TAC,6374
420,2010-01-04,16,PGE-TAC,5566
421,2010-01-04,7,PGE-TAC,5145
422,2010-01-04,14,PGE-TAC,5617
423,2010-01-04,12,PGE-TAC,5740
424,2010-01-04,8,PGE-TAC,5486
425,2010-01-04,6,PGE-TAC,4419
426,2010-01-04,2,PGE-TAC,3884
427,2010-01-04,4,PGE-TAC,3876
428,2010-01-04,1,PGE-TAC,4046
429,2010-01-04,17,PGE-TAC,5894
430,2010-01-04,3,PGE-TAC,3842
431,2010-01-04,11,PGE-TAC,5763
528,2010-01-05,20,PGE-TAC,6205
529,2010-01-05,7,PGE-TAC,5289
530,2010-01-05,8,PGE-TAC,5564
531,2010-01-05,18,PGE-TAC,6432
532,2010-01-05,21,PGE-TAC,5993
533,2010-01-05,24,PGE-TAC,4659
534,2010-01-05,5,PGE-TAC,4306
535,2010-01-05,10,PGE-TAC,5799
536,2010-01-05,15,PGE-TAC,5645
537,2010-01-05,16,PGE-TAC,5655
538,2010-01-05,9,PGE-TAC,5725
539,2010-01-05,17,PGE-TAC,5920
540,2010-01-05,19,PGE-TAC,6359
541,2010-01-05,2,PGE-TAC,4153
542,2010-01-05,3,PGE-TAC,4066
543,2010-01-05,4,PGE-TAC,4134
544,2010-01-05,11,PGE-TAC,5805
545,2010-01-05,12,PGE-TAC,5747
546,2010-01-05,22,PGE-TAC,5635
547,2010-01-05,1,PGE-TAC,4301
548,2010-01-05,6,PGE-TAC,4620
549,2010-01-05,13,PGE-TAC,5718
550,2010-01-05,14,PGE-TAC,5712
551,2010-01-05,23,PGE-TAC,5143
648,2010-01-06,19,PGE-TAC,6356
649,2010-01-06,17,PGE-TAC,5919
650,2010-01-06,14,PGE-TAC,5628
651,2010-01-06,13,PGE-TAC,5668
652,2010-01-06,4,PGE-TAC,4182
653,2010-01-06,11,PGE-TAC,5726
654,2010-01-06,20,PGE-TAC,6216
655,2010-01-06,5,PGE-TAC,4361
656,2010-01-06,24,PGE-TAC,4691
657,2010-01-06,23,PGE-TAC,5198
658,2010-01-06,16,PGE-TAC,5696
659,2010-01-06,9,PGE-TAC,5746
660,2010-01-06,12,PGE-TAC,5696
661,2010-01-06,2,PGE-TAC,4202
662,2010-01-06,3,PGE-TAC,4173
663,2010-01-06,10,PGE-TAC,5735
664,2010-01-06,7,PGE-TAC,5384
665,2010-01-06,22,PGE-TAC,5670
666,2010-01-06,1,PGE-TAC,4375
667,2010-01-06,15,PGE-TAC,5622
668,2010-01-06,6,PGE-TAC,4686
669,2010-01-06,21,PGE-TAC,5965
670,2010-01-06,18,PGE-TAC,6421
671,2010-01-06,8,PGE-TAC,5630
768,2010-01-07,6,PGE-TAC,4767
769,2010-01-07,8,PGE-TAC,5745
770,2010-01-07,11,PGE-TAC,5945
771,2010-01-07,16,PGE-TAC,5765
772,2010-01-07,24,PGE-TAC,4714
773,2010-01-07,20,PGE-TAC,6303
774,2010-01-07,5,PGE-TAC,4351
775,2010-01-07,13,PGE-TAC,5823
776,2010-01-07,19,PGE-TAC,6451
777,2010-01-07,7,PGE-TAC,5500
778,2010-01-07,10,PGE-TAC,5902
779,2010-01-07,14,PGE-TAC,5775
780,2010-01-07,12,PGE-TAC,5850
781,2010-01-07,21,PGE-TAC,6075
782,2010-01-07,9,PGE-TAC,5849
783,2010-01-07,17,PGE-TAC,6049
784,2010-01-07,2,PGE-TAC,4241
785,2010-01-07,22,PGE-TAC,5654
786,2010-01-07,23,PGE-TAC,5186
787,2010-01-07,3,PGE-TAC,4174
788,2010-01-07,4,PGE-TAC,4197
789,2010-01-07,15,PGE-TAC,5720
790,2010-01-07,18,PGE-TAC,6565
791,2010-01-07,1,PGE-TAC,4441
888,2010-01-08,13,PGE-TAC,5991
