Time,null: ElectricityNet:Facility (J) - Hourly
01 Jan 01:00,9559988.161024394
01 Jan 02:00,9559988.161024394
01 Jan 03:00,9559988.161024394
01 Jan 04:00,10459988.161024392
01 Jan 05:00,10459988.161024394
01 Jan 06:00,9559988.161024394
01 Jan 07:00,11925234.788435062
01 Jan 08:00,10672712.161024392
01 Jan 09:00,7389512.161024392
01 Jan 10:00,7389512.16102439
01 Jan 11:00,7389512.161024391
01 Jan 12:00,7389512.161024392
01 Jan 13:00,7389512.161024392
01 Jan 14:00,8642065.29062295
01 Jan 15:00,7389512.161024392
01 Jan 16:00,7389512.161024391
01 Jan 17:00,7389512.161024391
01 Jan 18:00,10672712.161024392
01 Jan 19:00,10672712.161024392
01 Jan 20:00,10672712.161024392
01 Jan 21:00,11925301.852513533
01 Jan 22:00,10672712.161024392
01 Jan 23:00,10672712.161024392
02 Jan 00:00,10672712.161024392
02 Jan 01:00,12747660.576894097
02 Jan 02:00,12747660.576894097
02 Jan 03:00,14000131.278953573
02 Jan 04:00,12747660.576894097
02 Jan 05:00,12747660.576894097
02 Jan 06:00,13638993.075809093
02 Jan 07:00,43450087.06414695
02 Jan 08:00,59559786.2224282
02 Jan 09:00,57111293.48186618
02 Jan 10:00,52369359.17104675
02 Jan 11:00,51228581.59911902
02 Jan 12:00,49146188.61324285
02 Jan 13:00,48589879.63961324
02 Jan 14:00,47751743.750988625
02 Jan 15:00,44499030.61198129
02 Jan 16:00,42397166.97975962
02 Jan 17:00,44065298.39727803
02 Jan 18:00,40554543.434738524
02 Jan 19:00,33690794.16500982
02 Jan 20:00,14832377.339425648
02 Jan 21:00,13671138.802441757
02 Jan 22:00,12397542.15833537
02 Jan 23:00,11092684.859868167
03 Jan 00:00,10672712.161024392
03 Jan 01:00,12747660.576894097
03 Jan 02:00,13999838.18386524
03 Jan 03:00,12747660.576894097
03 Jan 04:00,12747660.576894097
03 Jan 05:00,12747660.576894097
03 Jan 06:00,13638993.075809093
03 Jan 07:00,37135193.0120512
03 Jan 08:00,43165074.02894744
03 Jan 09:00,46705434.918257155
03 Jan 10:00,43673439.0790374
03 Jan 11:00,39654173.45516515
03 Jan 12:00,39455957.43071838
03 Jan 13:00,36750017.87411388
03 Jan 14:00,37139021.34700914
03 Jan 15:00,35491229.743333176
03 Jan 16:00,35481437.15114553
03 Jan 17:00,37086288.46484282
