Time,CORE_ZN ZN:EL PASO INTERNATIONAL AP  UT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_ZN ZN:RED BLUFF MUNICIPAL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],CORE_ZN ZN:EL PASO INTERNATIONAL AP  UT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_ZN ZN:RED BLUFF MUNICIPAL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_1 ZN:EL PASO INTERNATIONAL AP  UT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_1 ZN:EL PASO INTERNATIONAL AP  UT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_1 ZN:EL PASO INTERNATIONAL AP  UT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_1 ZN:EL PASO INTERNATIONAL AP  UT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_2 ZN:EL PASO INTERNATIONAL AP  UT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_2 ZN:RED BLUFF MUNICIPAL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_2 ZN:EL PASO INTERNATIONAL AP  UT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_2 ZN:RED BLUFF MUNICIPAL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_3 ZN:EL PASO INTERNATIONAL AP  UT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_3 ZN:RED BLUFF MUNICIPAL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_3 ZN:EL PASO INTERNATIONAL AP  UT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_3 ZN:RED BLUFF MUNICIPAL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_4 ZN:EL PASO INTERNATIONAL AP  UT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_4 ZN:RED BLUFF MUNICIPAL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_4 ZN:EL PASO INTERNATIONAL AP  UT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_4 ZN:RED BLUFF MUNICIPAL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
01:00:00,9.198613E+02,3.582456E+03,3.122464E-02,3.159034E-01,2.589907E+03,3.033947E+03,8.791052E-02,2.675258E-01,1.556973E+03,1.963909E+03,5.284895E-02,1.731749E-01,2.612154E+03,3.114546E+03,8.866550E-02,2.746370E-01,1.545982E+03,2.297164E+03,5.247585E-02,2.025598E-01
02:00:00,9.190517E+02,3.539095E+03,3.119716E-02,3.120827E-01,2.589688E+03,2.909066E+03,8.790245E-02,2.565153E-01,1.556866E+03,1.869944E+03,5.284491E-02,1.648903E-01,2.611941E+03,2.956066E+03,8.865763E-02,2.606643E-01,1.545873E+03,2.104840E+03,5.247180E-02,1.856024E-01
03:00:00,9.182764E+02,3.501419E+03,3.117084E-02,3.087633E-01,2.589477E+03,2.802773E+03,8.789486E-02,2.471440E-01,1.556764E+03,1.787791E+03,5.284118E-02,1.576471E-01,2.611737E+03,2.826252E+03,8.865027E-02,2.492194E-01,1.545771E+03,1.967046E+03,5.246805E-02,1.734533E-01
04:00:00,9.175331E+02,3.467559E+03,3.114561E-02,3.057792E-01,2.589271E+03,2.711185E+03,8.788766E-02,2.390692E-01,1.556665E+03,1.715786E+03,5.283767E-02,1.512985E-01,2.611538E+03,2.715963E+03,8.864330E-02,2.394953E-01,1.545671E+03,1.859828E+03,5.246453E-02,1.639998E-01
05:00:00,9.168190E+02,3.436278E+03,3.112137E-02,3.030224E-01,2.589066E+03,2.630941E+03,8.788063E-02,2.319944E-01,1.556565E+03,1.652079E+03,5.283424E-02,1.456814E-01,2.611340E+03,2.620606E+03,8.863649E-02,2.310878E-01,1.545571E+03,1.772512E+03,5.246108E-02,1.563010E-01
06:00:00,9.161319E+02,3.411888E+03,3.109805E-02,3.008735E-01,2.588861E+03,2.569968E+03,8.787365E-02,2.266188E-01,1.556463E+03,1.677187E+03,5.283078E-02,1.478963E-01,2.611140E+03,2.600602E+03,8.862970E-02,2.293251E-01,1.545469E+03,1.707328E+03,5.245761E-02,1.505538E-01
07:00:00,9.164930E+02,3.397284E+03,3.111030E-02,2.995868E-01,2.589027E+03,2.547128E+03,8.787930E-02,2.246053E-01,1.556558E+03,1.824357E+03,5.283399E-02,1.608756E-01,2.611307E+03,2.635465E+03,8.863535E-02,2.324007E-01,1.545564E+03,1.667788E+03,5.246083E-02,1.470676E-01
08:00:00,9.168393E+02,3.391090E+03,3.112206E-02,2.990384E-01,2.564595E+03,2.571615E+03,8.704998E-02,2.267639E-01,1.540253E+03,2.060177E+03,5.228057E-02,1.816696E-01,2.585737E+03,2.679185E+03,8.776744E-02,2.362548E-01,1.529260E+03,1.655931E+03,5.190742E-02,1.460216E-01
09:00:00,9.171716E+02,3.395061E+03,3.113334E-02,2.993848E-01,2.540147E+03,2.651564E+03,8.622018E-02,2.338122E-01,1.523940E+03,2.349748E+03,5.172687E-02,2.072019E-01,2.560153E+03,2.767943E+03,8.689908E-02,2.440792E-01,1.512946E+03,1.676651E+03,5.135372E-02,1.478474E-01
10:00:00,9.174904E+02,3.411166E+03,3.114416E-02,3.008011E-01,2.515677E+03,2.786563E+03,8.538981E-02,2.457147E-01,1.507613E+03,2.651632E+03,5.117282E-02,2.338198E-01,2.534548E+03,2.904338E+03,8.603015E-02,2.561042E-01,1.496620E+03,1.730280E+03,5.079968E-02,1.525751E-01
11:00:00,9.177956E+02,3.439703E+03,3.115452E-02,3.033134E-01,2.491185E+03,2.988319E+03,8.455883E-02,2.635040E-01,1.491272E+03,2.917338E+03,5.061840E-02,2.572475E-01,2.508919E+03,3.084593E+03,8.516061E-02,2.719966E-01,1.480279E+03,1.815079E+03,5.024526E-02,1.600512E-01
12:00:00,9.180868E+02,3.475529E+03,3.116440E-02,3.064686E-01,2.466668E+03,3.245742E+03,8.372716E-02,2.862021E-01,1.474916E+03,3.061536E+03,5.006353E-02,2.699608E-01,2.483265E+03,3.240457E+03,8.429037E-02,2.857381E-01,1.463923E+03,1.919379E+03,4.969040E-02,1.692470E-01
13:00:00,9.183636E+02,3.515231E+03,3.117380E-02,3.099668E-01,2.442129E+03,3.521576E+03,8.289476E-02,3.105242E-01,1.458544E+03,3.085630E+03,4.950818E-02,2.720827E-01,2.457587E+03,3.385832E+03,8.341936E-02,2.985553E-01,1.447551E+03,2.032547E+03,4.913506E-02,1.792253E-01
